group,subgroup,dimension_label,Видимість (Toggle),dimension_name,dimension_value_type,sql_table,sql_name,catalog,dimension_src,is_valid,
1. Профіль Клієнта (B2C),Ідентифікація,СІД,B2C,client_cid,STRING,growth_catalog_clients_c,cid,none,[v_Growth_catalog_clients_C].CID,yes,
1. Профіль Клієнта (B2C),Ідентифікація,Клієнт НПУ,B2C,сlient_npu,BOOLEAN,document_gc_nova_main,param_9,none,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 9,yes,
1. Профіль Клієнта (B2C),Ідентифікація,ПІБ (КА),Не визначено,ka_full_name,STRING,,,,На наступний етап,next iteration,
1. Профіль Клієнта (B2C),Ідентифікація,Email,B2C,email,STRING,growth_catalog_clients_c,Email,none,[v_Growth_catalog_clients_C].Email,yes,
1. Профіль Клієнта (B2C),Ідентифікація,Мобільний телефон,B2C,phone_client,STRING,growth_catalog_clients_c,PhoneClient,none,[v_Growth_catalog_clients_C].phoneclient (Если профильные поля) если ищем по получателю или отправителю то из Detail ([dc1-ap01.cdp.dev.nix.npu.np.work].[client_parcels_detail_365d]),yes,
1. Профіль Клієнта,Ідентифікація,Мобільний телефон,Логістика,phone_sender,STRING,client_parcels_detail,SenderPhone,none,[dc1-ap01.cdp.dev.nix.npu.np.work].[client_parcels_detail_365d].SenderPhone,yes,
1. Профіль Клієнта,Ідентифікація,Мобільний телефон,Логістика,phone_recipient,STRING,client_parcels_detail,RecipientPhone,none,[dc1-ap01.cdp.dev.nix.npu.np.work].[client_parcels_detail_365d].RecipientPhone,yes,
1. Профіль Клієнта (B2C),Ідентифікація,Наявність додаткового телефону,B2C,has_additional_phone,BOOLEAN,document_gc_nova_main,param_38,none,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 38,yes,
1. Профіль Клієнта (B2C),Демографія,Стать (розрахункова),B2C,gender,STRING,growth_catalog_clients_c,Gender,enum_gender,[v_Growth_catalog_clients_C].Gender,yes,
1. Профіль Клієнта (B2C),Демографія,Дата народження,B2C,date_of_birth,DATETIME,growth_catalog_clients_c,Data_birthday,none,[v_Growth_catalog_clients_C].Data_birthday,yes,
1. Профіль Клієнта (B2C),Демографія,Вікова група,B2C,age_group,STRING,growth_catalog_clients_c,Age_group,enum_age_group,[v_Growth_catalog_clients_C].Age_group,yes,
1. Профіль Клієнта (B2C),Демографія,Країна клієнта,B2C,client_country,STRING,document_gc_nova_main,param_14,country_code,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 14,yes,
1. Профіль Клієнта (B2C),Статус клієнта,Ознака співробітника,B2C,is_staff,BOOLEAN,growth_catalog_clients_c,IS_STAFF,none,[v_Growth_catalog_clients_C].IS_STAFF,yes,
1. Профіль Клієнта (B2C),Статус клієнта,Ознака ПОБа,B2C,is_pob,BOOLEAN,growth_catalog_clients_c,POB,none,[v_Growth_catalog_clients_C].POB,yes,
1. Профіль Клієнта (B2C),Статус клієнта,Ознака ЛІДа,B2C,is_lid,BOOLEAN,growth_catalog_clients_c,LID,none,[v_Growth_catalog_clients_C].LID,yes,
1. Профіль Клієнта (B2C),Верифікація,Верифікація клієнта (статус),B2C,verification_status,BOOLEAN,document_gc_nova_main,param_20,none,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 20,yes,
1. Профіль Клієнта (B2C),Верифікація,Статус верифікації телефону,B2C,phone_verification_status,BOOLEAN,document_gc_nova_main,param_32,none,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 32,yes,
1. Профіль Клієнта (B2C),Верифікація,Статус верифікації Email,B2C,email_verification_status,BOOLEAN,document_gc_nova_main,param_36,none,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 36,yes,
1. Профіль Клієнта (B2C),Верифікація,Наявність першої верифікації клієнта NovaPay,B2C,has_initial_verification_nova_pay,BOOLEAN,document_gc_nova_main,param_132,none,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 132,yes,
1. Профіль Клієнта (B2C),Верифікація,Дата верифікації клієнта,B2C,verification_date,DATETIME,document_gc_nova_main,param_21,none,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 21,yes,
1. Профіль Клієнта (B2C),Верифікація,Остання дата верифікації,B2C,last_verification_date,DATETIME,document_gc_nova_main,param_34,none,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 34,yes,
1. Профіль Клієнта (B2C),Сегментація,Сегмент активності,B2C,activity_segment,STRING,growth_catalog_clients_c,Segment_act,enum_segment_act,[v_Growth_catalog_clients_C].Segment_act,yes,
1. Профіль Клієнта (B2C),Сегментація,RFM сегмент (загальний),B2C,rfm_segment,STRING,growth_catalog_clients_c,rfm_segment_all,enum_rfm_segment,[v_Growth_catalog_clients_C].rfm_segment_all,yes,
1. Профіль Клієнта (B2C),Сегментація,CLC сегмент,B2C,clc_segment,STRING,growth_catalog_clients_c,clc_segment_all,enum_clc_segment,[v_Growth_catalog_clients_C].clc_segment_all,yes,
1. Профіль Клієнта (B2C),Сегментація,CVO сегмент,B2C,cvo_segment,NUMBER,growth_catalog_clients_c,cvo_segment_all,enum_cvo_segment,[v_Growth_catalog_clients_C].cvo_segment_all,yes,
2. B2B та Менеджмент,Сегментація,Сегмент клієнта (місяць),B2B,client_segment_month,STRING,growth_catalog_clients_b,Client_segment_month_CRM,segments_customer_crm,[v_Growth_catalog_clients_B].Client_segment_month_CRM,yes,
2. B2B та Менеджмент,Сегментація,Сегмент клієнта (квартал),B2B,client_segment_quarter,STRING,growth_catalog_clients_b,Client_segment_quarter_CRM,segments_customer_crm,[v_Growth_catalog_clients_B].Client_segment_quarter_CRM,yes,
1. Профіль Клієнта (B2C),Сегментація за роллю,RFM сегмент відправка,B2C,rfm_segment_recipient,STRING,growth_catalog_clients_c,rfm_segment_recipient,enum_rfm_segment,[v_Growth_catalog_clients_C].rfm_segment_recipient,yes,
1. Профіль Клієнта (B2C),Сегментація за роллю,CLC сегмент відправка,B2C,clc_segment_recipient,STRING,growth_catalog_clients_c,clc_segment_recipient,enum_clc_segment,[v_Growth_catalog_clients_C].clc_segment_recipient,yes,
1. Профіль Клієнта (B2C),Сегментація за роллю,CVO сегмент відправка,B2C,cvo_segment_recipient,NUMBER,growth_catalog_clients_c,cvo_segment_recipient,enum_cvo_segment,[v_Growth_catalog_clients_C].cvo_segment_recipient,yes,
1. Профіль Клієнта (B2C),Сегментація за роллю,RFM сегмент отримання,B2C,rfm_segment_sender,STRING,growth_catalog_clients_c,rfm_segment_send,enum_rfm_segment,[v_Growth_catalog_clients_C].rfm_segment_send,yes,
1. Профіль Клієнта (B2C),Сегментація за роллю,CLC сегмент отримання,B2C,clc_segment_sender,STRING,growth_catalog_clients_c,clc_segment_send,enum_clc_segment,[v_Growth_catalog_clients_C].clc_segment_send,yes,
1. Профіль Клієнта (B2C),Сегментація за роллю,CVO сегмент отримання,B2C,cvo_segment_sender,NUMBER,growth_catalog_clients_c,cvo_segment_send,enum_cvo_segment,[v_Growth_catalog_clients_C].cvo_segment_send,yes,
1. Профіль Клієнта (B2C),Сегментація за роллю,Сегмент активності за відправками,B2B,activity_segment_sender,STRING,growth_catalog_clients_b,StatusSender,enum_segment_act,[v_Growth_catalog_clients_B].StatusSender,yes,
1. Профіль Клієнта (B2C),Сегментація за роллю,Сегмент активності за отриманням,B2B,activity_segment_recipient,STRING,growth_catalog_clients_b,StatusRecipient,enum_segment_act,[v_Growth_catalog_clients_B].StatusRecipient,yes,
2. B2B та Менеджмент,Профіль бізнес-клієнта,Тип контрагента,B2B,counter_party_type,STRING,growth_catalog_clients_b,CounterpartyType,enum_counterparty_type,[v_Growth_catalog_clients_B].CounterpartyType,yes,
2. B2B та Менеджмент,Профіль бізнес-клієнта,"Категорія контрагента (Strategic, Regional...)",B2B,counter_party_category,STRING,growth_catalog_clients_b,Category,categoty_crm,[v_Growth_catalog_clients_B].Category,yes,
2. B2B та Менеджмент,Профіль бізнес-клієнта,Бізнес тип діяльності контрагента,B2B,counter_party_business_type,STRING,growth_catalog_clients_b,Business_type,business_type_crm,[v_Growth_catalog_clients_B].Business_type,yes,
2. B2B та Менеджмент,Профіль бізнес-клієнта,ПІБ представника,B2B,representative_full_name,STRING,catalog_full_name,FullName,none,[dimCatalogContacts_CRM].FullName,yes,
2. B2B та Менеджмент,Профіль бізнес-клієнта,Роль представника,B2B,representative_role,STRING,catalog_contacts_crm,BusinessRole,business_role_crm,[dimCatalogContacts_CRM].BusinessRole,yes,
2. B2B та Менеджмент,Профіль бізнес-клієнта,Email представника,B2B,representative_email,STRING,catalog_contacts_crm,Email,none,[dimCatalogContacts_CRM].Email,yes,
2. B2B та Менеджмент,Профіль бізнес-клієнта,ПІБ ЛПР компанії,B2B,company_lpr_full_name,STRING,growth_catalog_clients_b,Main_contact,none,[v_Growth_catalog_clients_B].Main_contact,yes,
2. B2B та Менеджмент,Профіль бізнес-клієнта,Телефон ЛПР компанії,B2B,company_lpr_phone,STRING,growth_catalog_clients_b,Phone_number_main_contact,none,[v_Growth_catalog_clients_B].Phone_number_main_contact,yes,
2. B2B та Менеджмент,Профіль бізнес-клієнта,Email ЛПР компанії,B2B,company_lpr_email,STRING,growth_catalog_clients_b,Email_main_contact,none,[v_Growth_catalog_clients_B].Email_main_contact,yes,
2. B2B та Менеджмент,Профіль бізнес-клієнта,Сегмент активності контрагента,B2B,activity_segment_counter_party,STRING,growth_catalog_clients_b,ClientStatus,enum_segment_act,[v_Growth_catalog_clients_B].ClientStatus,yes,
2. B2B та Менеджмент,Управління (Менеджер),Закріплений менеджер по контрагенту,B2B,counter_party_fixed_manager,STRING,growth_catalog_clients_b,FixedManager,manager_names,[v_Growth_catalog_clients_B].FixedManager,yes,
2. B2B та Менеджмент,Управління (Менеджер),Відділ менеджера,B2B,counter_party_fixed_manager_departement,STRING,growth_catalog_clients_b,FixedManager_departement,manager_departement,[v_Growth_catalog_clients_B].FixedManager_departement,yes,
2. B2B та Менеджмент,Управління (Менеджер),Дирекція менеджера,B2B,counter_party_fixed_manager_administration,STRING,growth_catalog_clients_b,FixedManager_administration,manager_administration,[v_Growth_catalog_clients_B].FixedManager_administration,yes,
2. B2B та Менеджмент,Материнська компанія,Тип основного контрагента,B2B,counter_party_type_main,STRING,growth_catalog_clients_b,CounterpartyTypeMain,enum_counterparty_type,[v_Growth_catalog_clients_B].CounterpartyTypeMain,yes,
2. B2B та Менеджмент,Материнська компанія,Код основного контрагента,B2B,counter_party_code_main,STRING,growth_catalog_clients_b,Main_Code,none,[v_Growth_catalog_clients_B].Main_Code,yes,
2. B2B та Менеджмент,Материнська компанія,Код ЄДРПОУ/ІПН основного контрагента,B2B,counter_party_edrpou_main,STRING,growth_catalog_clients_b,Main_EDRPOU,none,[v_Growth_catalog_clients_B].Main_EDRPOU,yes,
2. B2B та Менеджмент,Материнська компанія,Назва основного контрагента,B2B,counter_party_name_main,STRING,growth_catalog_clients_b,Main_Name,none,[v_Growth_catalog_clients_B].Main_Name,yes,
2. B2B та Менеджмент,Материнська компанія,Сфера діяльності основного контрагента,B2B,counter_party_group_activity_main,STRING,growth_catalog_clients_b,Main_Group_activity,business_area_crm,[v_Growth_catalog_clients_B].Main_Group_activity,yes,
2. B2B та Менеджмент,Материнська компанія,Категорія основного контрагента,B2B,counter_party_category_main,STRING,growth_catalog_clients_b,Main_category,categoty_crm,[v_Growth_catalog_clients_B].Main_category,yes,
2. B2B та Менеджмент,Материнська компанія,Бізнес тип діяльності основного контрагента,B2B,counter_party_business_type_main,STRING,growth_catalog_clients_b,Main_Business_type,business_type_crm,[v_Growth_catalog_clients_B].Main_Business_type,yes,
2. B2B та Менеджмент,Материнська компанія,Веб-сайт основного контрагента,B2B,counter_party_web_site_main,STRING,growth_catalog_clients_b,Main_WebSite,website,[v_Growth_catalog_clients_B].Main_WebSite,yes,
2. B2B та Менеджмент,Материнська компанія,Закріплений менеджер по основному контрагенту,B2B,counter_party_fixed_manager_main,STRING,growth_catalog_clients_b,Main_FixedManager,manager_names,[v_Growth_catalog_clients_B].Main_FixedManager,yes,
2. B2B та Менеджмент,Материнська компанія,Відділ менеджера основного контрагента,B2B,counter_party_fixed_manager_departement_main,STRING,growth_catalog_clients_b,Main_FixedManager_departement,manager_departement,[v_Growth_catalog_clients_B].Main_FixedManager_departement,yes,
2. B2B та Менеджмент,Материнська компанія,Дирекція менеджера основного контрагента,B2B,counter_party_fixed_manager_administration_main,STRING,growth_catalog_clients_b,Main_FixedManager_administration,manager_administration,[v_Growth_catalog_clients_B].Main_FixedManager_administration,yes,
3. Параметри ЕН,Загальні дані,Роль в ЕН (Відправник/Отримувач),Не визначено,user_role,STRING,,,,[dc1-ap01.cdp.dev.nix.npu.np.work].[client_parcels_detail_365d].SenderPhone/RecipientPhone,no needed,Має бути як окрема UI вкладка
3. Параметри ЕН,Загальні дані,Тип сервісу,Логістика,service_type,NUMBER,client_parcels_detail,ServiceType,service_type,[dc1-ap01.cdp.dev.nix.npu.np.work].[client_parcels_detail_365d].ServiceType,yes,
3. Параметри ЕН,Загальні дані,Платник,Логістика,payer_type,NUMBER,client_parcels_detail,PayerType,payer_type,[dc1-ap01.cdp.dev.nix.npu.np.work].[client_parcels_detail_365d].PayerType,yes,
3. Параметри ЕН,Загальні дані,Дата створення ЕН,Логістика,creation_date,DATETIME,client_parcels_detail,CreationDate,none,[dc1-ap01.cdp.dev.nix.npu.np.work].[client_parcels_detail_365d].CreationDate,yes,
3. Параметри ЕН,Загальні дані,Дата закриття ЕН,Логістика,closing_date,DATETIME,client_parcels_detail,ClosingDate,none,[dc1-ap01.cdp.dev.nix.npu.np.work].[client_parcels_detail_365d].ClosingDate,yes,
3. Параметри ЕН,Загальні дані,Місце створення,Логістика,creation_place,NUMBER,client_parcels_detail,PlaceofCreation,place_of_creation,[dc1-ap01.cdp.dev.nix.npu.np.work].[client_parcels_detail_365d].PlaceofCreation,yes,
3. Параметри ЕН,Загальні дані,Тип місця створення,Логістика,creation_place_type,NUMBER,client_parcels_detail,PlaceOfCreation_group,place_of_creation_group,[dc1-ap01.cdp.dev.nix.npu.np.work].[client_parcels_detail_365d].PlaceOfCreation_group,yes,
3. Параметри ЕН,Загальні дані,Тип останньої точки обслуговування,Логістика,last_service_point_type,STRING,document_gc_nova_main,param_75,category_warehouse,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 75,yes,
3. Параметри ЕН,Тип та Категорія,Вторинні ЕН,Логістика,secondary_en,STRING,,,,[dc1-ap01.cdp.dev.nix.npu.np.work].[client_parcels_detail_365d].Похідні док-ти перв. ЕН,no,Треба доробити
3. Параметри ЕН,Тип та Категорія,Причина повернення ЕН,Логістика,reason_return,STRING,cpd_undelivery_reasons,ReasonsFull_Повернення,cpd_return,[dc1-ap01.cdp.dev.nix.npu.np.work].[client_parcels_detail_365d].UndeliveryReasons,yes,
3. Параметри ЕН,Тип та Категорія,Вид проблеми з ЕН,Логістика,problem_type,STRING,cpd_undelivery_reasons,ReasonsFull_Проблема,cpd_problem,[dc1-ap01.cdp.dev.nix.npu.np.work].[client_parcels_detail_365d].UndeliveryReasons,yes,
3. Параметри ЕН,Тип та Категорія,Категорія 1 рівень,Логістика,category_first_level,NUMBER,client_parcels_detail,Category l-1,categoty,[dc1-ap01.cdp.dev.nix.npu.np.work].[client_parcels_detail_365d].l1_Category,yes,
3. Параметри ЕН,Тип та Категорія,Категорія 2 рівень,Логістика,category_second_level,NUMBER,client_parcels_detail,Category l-2,categoty,[dc1-ap01.cdp.dev.nix.npu.np.work].[client_parcels_detail_365d].l2_Category,yes,
3. Параметри ЕН,Тип та Категорія,Категорія 3 рівень,Логістика,category_third_level,NUMBER,client_parcels_detail,Category l-3,categoty,[dc1-ap01.cdp.dev.nix.npu.np.work].[client_parcels_detail_365d].l3_Category,yes,
3. Параметри ЕН,Тип та Категорія,Категорія 4 рівень,Логістика,category_fourth_level,NUMBER,client_parcels_detail,Category l-4,categoty,[dc1-ap01.cdp.dev.nix.npu.np.work].[client_parcels_detail_365d].l4_Category,yes,
,,Кількість ЕН,,,,,,,,no,Потрібно уточнити
3. Параметри ЕН,Тип та Категорія,Імпорт,,,,client_parcels_detail,,,,no,Потрібно уточнити
3. Параметри ЕН,Тип та Категорія,Експорт,,,,client_parcels_detail,,,,no,Потрібно уточнити
3. Параметри ЕН,Логістика,Імпорт (країна),Логістика,import_country,STRING,,,,[dc1-ap01.cdp.dev.nix.npu.np.work].[client_parcels_detail_365d].Країна Import/Export / Import/Export,no,
3. Параметри ЕН,Логістика,Експорт (країна),Логістика,export_country,STRING,,,,[dc1-ap01.cdp.dev.nix.npu.np.work].[client_parcels_detail_365d].Країна Import/Export / Import/Export,no,
2. B2B та Менеджмент,Логістика,Міжнародна доставка НПУ,B2B,international_delivery_npu,BOOLEAN,growth_catalog_clients_b,International_delivery_NPU,none,[ekk].[dbo].[v_Growth_catalog_clients_B].International_delivery_NPU,yes,
